protein1 protein2 experimental database textmining combined_score
224308.BSU00010 224308.BSU40970 560 0 876 942
224308.BSU00010 224308.BSU00020 614 0 212 682
224308.BSU00010 224308.BSU12530 193 0 175 305
224308.BSU00010 224308.BSU20360 0 0 200 200
224308.BSU00010 224308.BSU25460 0 0 213 213
224308.BSU00010 224308.BSU25470 0 0 231 230
224308.BSU00010 224308.BSU41050 0 0 398 397
224308.BSU00010 224308.BSU29090 0 0 496 496
224308.BSU00010 224308.BSU40440 215 0 413 519
224308.BSU00010 224308.BSU28990 0 0 721 721
224308.BSU00010 224308.BSU40960 0 0 475 475
224308.BSU00010 224308.BSU21000 0 0 184 183
224308.BSU00010 224308.BSU20370 215 0 199 344
224308.BSU00010 224308.BSU26260 193 0 608 669
224308.BSU00010 224308.BSU18090 0 0 199 199
224308.BSU00010 224308.BSU01190 139 0 231 309
224308.BSU00010 224308.BSU00330 526 0 423 714
224308.BSU00010 224308.BSU24060 0 0 170 169
224308.BSU00010 224308.BSU17900 937 0 0 937
224308.BSU00010 224308.BSU02530 0 0 200 200
224308.BSU00010 224308.BSU16940 0 0 225 224
224308.BSU00010 224308.BSU40990 0 0 199 199
224308.BSU00010 224308.BSU25210 0 0 200 200
224308.BSU00010 224308.BSU01010 0 0 212 212
224308.BSU00010 224308.BSU24300 176 0 0 175
224308.BSU00010 224308.BSU22350 176 0 0 175
224308.BSU00010 224308.BSU00060 0 0 199 199
224308.BSU00010 224308.BSU14610 0 0 170 169
224308.BSU00010 224308.BSU22010 0 0 200 200
224308.BSU00010 224308.BSU13060 176 0 0 175
224308.BSU00010 224308.BSU26310 176 0 529 595
224308.BSU00010 224308.BSU08090 0 0 170 169
224308.BSU00010 224308.BSU28980 193 0 212 336
224308.BSU00020 224308.BSU20360 0 0 199 199
224308.BSU00020 224308.BSU20340 730 900 200 976
224308.BSU00020 224308.BSU00310 842 983 219 997
224308.BSU00020 224308.BSU16580 176 900 499 955
224308.BSU00020 224308.BSU28590 197 0 0 197
224308.BSU00020 224308.BSU13400 730 513 0 862
224308.BSU00020 224308.BSU35440 169 0 0 169
224308.BSU00020 224308.BSU29230 730 900 200 976
224308.BSU00020 224308.BSU04570 223 0 0 223
224308.BSU00020 224308.BSU29090 941 548 327 980
224308.BSU00020 224308.BSU27530 271 0 0 271
224308.BSU00020 224308.BSU40440 0 0 293 292
224308.BSU00020 224308.BSU06620 0 0 231 230
224308.BSU00020 224308.BSU41050 0 0 393 393
224308.BSU00020 224308.BSU00190 816 900 579 991
224308.BSU00020 224308.BSU20370 0 0 199 199
224308.BSU00020 224308.BSU18090 56 0 200 212
224308.BSU00020 224308.BSU40880 300 797 0 851
224308.BSU00020 224308.BSU18940 552 360 137 730
224308.BSU00020 224308.BSU24580 476 350 0 644
224308.BSU00020 224308.BSU34970 216 0 0 216
224308.BSU00020 224308.BSU00330 526 0 406 706
224308.BSU00020 224308.BSU27480 729 0 0 729
224308.BSU00020 224308.BSU17050 385 850 467 946
224308.BSU00020 224308.BSU29740 526 0 0 526
224308.BSU00020 224308.BSU06610 560 0 0 560
224308.BSU00020 224308.BSU25560 880 900 492 993
224308.BSU00020 224308.BSU16940 336 0 227 464
224308.BSU00020 224308.BSU17040 556 849 212 942
224308.BSU00020 224308.BSU23710 552 360 137 730
224308.BSU00020 224308.BSU21500 552 360 137 730
224308.BSU00020 224308.BSU25210 0 0 550 549
224308.BSU00020 224308.BSU08630 294 0 0 294
224308.BSU00020 224308.BSU16060 729 0 0 729
224308.BSU00020 224308.BSU22350 0 0 265 265
224308.BSU00020 224308.BSU37970 455 0 0 455
224308.BSU00020 224308.BSU20500 730 513 0 862
224308.BSU00020 224308.BSU00060 56 0 200 212
224308.BSU00020 224308.BSU19560 217 0 0 217
224308.BSU00020 224308.BSU36280 476 350 0 644
224308.BSU00020 224308.BSU18930 552 360 137 730
224308.BSU00020 224308.BSU11820 560 0 0 560
224308.BSU00020 224308.BSU23020 180 0 0 179
224308.BSU00020 224308.BSU23870 615 360 137 768
224308.BSU00020 224308.BSU00010 614 0 212 682
224308.BSU00020 224308.BSU22010 730 548 200 893
224308.BSU00020 224308.BSU19220 180 0 0 179
224308.BSU00040 224308.BSU41050 0 0 344 343
224308.BSU00040 224308.BSU27620 0 0 504 504
224308.BSU00040 224308.BSU28980 176 0 0 175
224308.BSU00040 224308.BSU15870 0 0 440 440
224308.BSU00040 224308.BSU25280 172 0 659 705
224308.BSU00040 224308.BSU31250 176 0 0 175
224308.BSU00040 224308.BSU20350 0 0 199 199
224308.BSU00040 224308.BSU16940 0 0 452 451
224308.BSU00040 224308.BSU00210 0 0 212 212
224308.BSU00060 224308.BSU15940 61 0 164 181
224308.BSU00060 224308.BSU00010 0 0 199 199
224308.BSU00060 224308.BSU33040 0 0 335 335
224308.BSU00060 224308.BSU19220 255 0 164 350
224308.BSU00060 224308.BSU21350 61 0 167 184
224308.BSU00060 224308.BSU29790 0 0 313 313
224308.BSU00060 224308.BSU36280 240 0 80 270
224308.BSU00060 224308.BSU23020 255 0 164 350
224308.BSU00060 224308.BSU01120 0 0 200 200
224308.BSU00060 224308.BSU29120 0 0 208 208
224308.BSU00060 224308.BSU33930 0 0 198 198
224308.BSU00060 224308.BSU20010 195 0 0 195
224308.BSU00060 224308.BSU36760 0 0 546 545
224308.BSU00060 224308.BSU10890 332 0 118 385
224308.BSU00060 224308.BSU40650 332 0 118 385
224308.BSU00060 224308.BSU16660 242 0 0 241
224308.BSU00060 224308.BSU16120 0 0 302 302
224308.BSU00060 224308.BSU16940 0 0 199 199
224308.BSU00060 224308.BSU18100 580 0 408 740
224308.BSU00060 224308.BSU23090 332 0 118 385
224308.BSU00060 224308.BSU24580 240 0 80 270
224308.BSU00060 224308.BSU37100 0 0 546 545
224308.BSU00060 224308.BSU33900 0 0 297 297
224308.BSU00060 224308.BSU17680 0 0 164 163
224308.BSU00060 224308.BSU34910 0 0 199 199
224308.BSU00060 224308.BSU00070 580 0 984 993
224308.BSU00060 224308.BSU03050 0 0 164 163
224308.BSU00060 224308.BSU06030 0 0 200 200
224308.BSU00060 224308.BSU21820 0 0 164 163
224308.BSU00060 224308.BSU00020 56 0 200 212
224308.BSU00060 224308.BSU00310 161 0 174 277
224308.BSU00060 224308.BSU17380 0 0 164 163
224308.BSU00060 224308.BSU04260 0 0 302 302
224308.BSU00060 224308.BSU20060 0 0 305 305
224308.BSU00060 224308.BSU25470 0 0 200 200
224308.BSU00070 224308.BSU00060 580 0 984 993
224308.BSU00070 224308.BSU24300 176 0 0 175
224308.BSU00070 224308.BSU41000 171 0 0 171
224308.BSU00070 224308.BSU35360 268 0 0 268
224308.BSU00070 224308.BSU31240 176 0 0 175
224308.BSU00070 224308.BSU20060 0 0 303 303
224308.BSU00070 224308.BSU27940 171 0 0 171
224308.BSU00070 224308.BSU35400 268 0 0 268
224308.BSU00070 224308.BSU29740 526 0 0 526
224308.BSU00070 224308.BSU31250 176 0 0 175
224308.BSU00070 224308.BSU35150 268 0 0 268
224308.BSU00070 224308.BSU15290 233 0 0 232
224308.BSU00070 224308.BSU18100 0 540 46 542
224308.BSU00070 224308.BSU29230 176 0 0 175
224308.BSU00070 224308.BSU01200 202 0 0 202
224308.BSU00070 224308.BSU14010 68 0 299 318
224308.BSU00070 224308.BSU16430 0 0 191 191
224308.BSU00070 224308.BSU18090 580 0 199 649
224308.BSU00080 224308.BSU38520 195 0 0 195
224308.BSU00080 224308.BSU15920 195 0 0 195
224308.BSU00080 224308.BSU17200 196 0 0 196
224308.BSU00080 224308.BSU17210 196 0 0 196
224308.BSU00080 224308.BSU17130 195 0 0 195
224308.BSU00080 224308.BSU23640 275 0 0 275
224308.BSU00080 224308.BSU17220 195 0 0 195
224308.BSU00080 224308.BSU03490 195 0 0 195
224308.BSU00080 224308.BSU11150 275 0 0 275
224308.BSU00080 224308.BSU03510 195 0 0 195
224308.BSU00080 224308.BSU31960 195 0 0 195
224308.BSU00080 224308.BSU17180 196 0 0 196
224308.BSU00090 224308.BSU35200 166 0 0 165
224308.BSU00090 224308.BSU31220 202 0 0 202
224308.BSU00090 224308.BSU28310 207 0 0 207
224308.BSU00090 224308.BSU06030 227 0 306 440
224308.BSU00090 224308.BSU01710 189 0 0 189
224308.BSU00090 224308.BSU17210 214 0 0 214
224308.BSU00090 224308.BSU33190 202 0 0 202
224308.BSU00090 224308.BSU39820 227 0 0 226
224308.BSU00090 224308.BSU37720 202 0 0 202
224308.BSU00090 224308.BSU07900 227 0 0 226
224308.BSU00090 224308.BSU14150 213 0 0 213
224308.BSU00090 224308.BSU38290 203 0 0 203
224308.BSU00090 224308.BSU26530 250 0 0 250
224308.BSU00090 224308.BSU24060 227 0 0 226
224308.BSU00090 224308.BSU31840 202 0 0 202
224308.BSU00090 224308.BSU24460 448 0 0 448
224308.BSU00090 224308.BSU33910 331 0 0 331
224308.BSU00090 224308.BSU33590 202 0 0 202
224308.BSU00090 224308.BSU14170 213 0 0 213
224308.BSU00090 224308.BSU37880 189 0 0 189
224308.BSU00090 224308.BSU16450 314 0 0 313
224308.BSU00090 224308.BSU39850 166 0 0 165
