locus_tag,gene,COG Class,COG category,prophage gene,strand,frame,start,stop,regulation,product,BKE#,RF_ErmR_LB37oC,nRF_ErmR_LB16oC,nRF_ErmR_glucose complete,nRF_ErmR_glucose+NH4+,nRF_ErmR_LB52oC,nRF_ErmR_LB22oC,nRF_ErmR_MC,nRF_ErmR_competence medium,nRF_ErmR_glucose+glutamine,nRF_ErmR_glucose+glutamate,nRF_ErmR_glucose+ornithine,nRF_ErmR_glucose+adenine,nRF_ErmR_glucose+malate+NH4+,nRF_ErmR_malate+NH4+,nRF_ErmR_pyruvate+NH4+,nRF_ErmR_fructose+NH4+,nRF_ErmR_glycerol+NH4+,nRF_ErmR_gluconate+NH4+,nRF_ErmR_succinate+glutamate,nRF_ErmR_glucose+nitrate,BKK#,RF_KanR_LB37oC,nRF_KanR_LB16oC,nRF_KanR_glucose complete,nRF_KanR_glucose+NH4+,nRF_KanR_LB52oC,nRF_KanR_LB22oC,nRF_KanR_glucose+glutamine,nRF_KanR_glucose+glutamate,nRF_KanR_glucose+ornithine,nRF_KanR_glucose+adenine,nRF_KanR_glucose+malate+NH4+,nRF_KanR_malate+NH4+,nRF_KanR_pyruvate+NH4+,nRF_KanR_fructose+NH4+,nRF_KanR_glycerol+NH4+,nRF_KanR_gluconate+NH4+,nRF_KanR_succinate+glutamate,nRF_KanR_glucose+nitrate
BSU00030,yaaA,J,"translation, ribosomal structure and biogenesis", ,leading,1,3206,3421,..,RNA binding protein involved in ribosome maturation,BKE00030,0.874412264,0.659404138,1.099379263,1.710555839,1.131014875,0.845011144,1.370521366,1.308196212,1.072274085,1.537803383,0.868725313,1.350261539,2.426334864,1.853557024,1.556555378,2.066405529,1.555314213,2.168062603,1.496391005,1.259286113,BKK00030,0.962478679,0.943198585,1.026021489,1.630520335,1.200951757,0.809826426,1.076795262,1.42844956,1.135373912,1.784812522,2.325059288,1.885990367,1.717322952,1.64960078,1.310383258,1.34771374,1.231908214,1.683752282
BSU00040,recF,L,"replication, recombination and repair", ,leading,1,3437,4549,..,DNA repair and genetic recombination factor,BKE00040,0.793514573,1.124079636,0.734611145,1.163579159,0.946543235,1.306457483,1.211821821,1.096223426,0.83340838,1.561433732,0.543198798,0.748014761,1.925525895,1.643604965,0.68752016,1.781723741,1.427466704,1.856821861,0.929064347,0.588254807,BKK00040,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BSU00050,yaaB,,, ,leading,1,4567,4812,..,regulator of extracellular matrix formation,BKE00050,0.882209435,0.972442316,1.103504405,1.882197065,1.253919022,0.893145659,1.443051941,1.273025997,1.031836311,1.775541891,0.884763669,1.506761852,2.618864828,2.069006253,1.411537993,2.30839151,1.276125688,2.386020604,1.658396128,1.383167121,BKK00050,1.044333732,0.670484628,1.012550632,1.444294981,1.266697972,0.601218243,0.833618155,1.358120103,0.971250821,1.39840747,2.122523463,2.20693425,1.874869735,1.397690927,1.188055812,1.283810369,1.096821208,1.276025798
BSU00080,yaaC,,, ,lagging,-1,14847,15794,..,conserved hypothetical protein,BKE00080,1.262662426,0.808713048,1.104709305,0.886633469,0.761927449,0.731581198,0.883796968,0.955886974,0.761794689,0.97418819,0.747126458,1.100111641,0.75073814,0.753823232,0.673494617,0.661197152,0.774235297,0.833938505,0.81307582,0.587679164,BKK00080,1.007590413,1.269090332,0.914826479,0.933767366,0.813589876,0.794842288,0.815326389,0.779803676,0.894221078,0.838797059,0.978552363,1.020547933,0.713491695,0.757112548,0.7030599,0.921704644,0.697266143,0.893332324
BSU00090,guaB,F,nucleotide transport and metabolism, ,leading,1,15915,17381,CodY_act.,inosine-monophosphate dehydrogenase,BKE00090,0.970672972,1.088141758,0.506415749,0.072024784,1.086845461,1.244442315,0,0.290114736,0.165680863,0,0,0.231074091,0.34963506,0.668981272,0,0.217228,0.135184183,0.540992861,0.087435801,0.273907539,BKK00090,0.861682845,1.072092008,1.028527921,0.174419805,1.085733476,0.921781963,0.150159501,0.099340453,0,0,0.395586994,0.63524779,0.073805617,0,0,0,0.161573042,0
BSU00100,dacA,M,cell wall/membrane/envelope biogenesis, ,leading,1,17534,18865,..,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5),BKE00100,1.048369642,0.80802749,1.031636733,0.804524305,1.087396383,1.108828687,1.101447062,0.947353067,0.841557551,0.869094854,0.797466716,0.935483469,0.840297743,1.053051377,0.625570924,0.751751511,0.854753578,0.797208316,0.899471105,0.530979012,BKK00100,1.013952348,0.864801205,0.945940534,1.008683621,0.763102142,0.757452693,0.803499786,0.827921324,0.655322405,0.935324723,0.739583097,0.814875824,0.721034962,0.715548891,0.613024199,0.92393072,0.586008749,1.185639039
BSU00110,pdxS,H,coenzyme transport and metabolism, ,leading,1,19062,19946,Spo0A_repress.,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, synthase subunit",BKE00110,0.813155819,1.172886661,0,1.188722538,0.862673702,1.132057122,0.205651382,0,0.625106707,0.674525632,0.248368838,1.032390412,0.921789362,1.246079225,1.114588139,1.459151016,0.946939236,1.529735226,1.071032568,0.714768719,BKK00110,0.967389381,0.781033811,0.371932375,0.559331514,0.863581332,0.895809968,0.19079979,0.440114547,0,0,0.406469942,0.436151477,0.350421089,0.24147032,0.385736485,0.177929477,0.3267839,0.402756897
BSU00120,pdxT,H,coenzyme transport and metabolism, ,leading,1,19968,20558,Spo0A_repress.,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT",BKE00120,0.579405679,0.705765513,0.33734178,1.414393331,1.413949964,0.274962527,0.378452299,0.239370833,0.637077112,1.037337883,0.267184019,1.27267947,1.04720094,1.129966163,1.070244118,1.871338649,1.600325841,1.831513652,0.914710723,0,BKK00120,0.979959412,1.155150014,1.051790521,0.953006321,1.035894832,1.164805151,1.102492662,1.074441355,0.957283714,0.822329094,0.966807943,0.955980273,1.067478963,1.007110093,1.199020853,1.031014608,1.125260472,0.957531916
BSU00140,dck,F,nucleotide transport and metabolism, ,lagging,-1,22496,23149,..,deoxyadenosine/deoxycytidine kinase,BKE00140,1.226559427,0.927575713,1.015062563,0.928575385,0.84699625,0.721767606,0.998414513,0.842500882,1.016634955,0.885236547,0.95456083,0.996850247,0.960491512,0.951769109,0.95306181,0.806977046,1.276727946,0.812664219,1.022521247,0.977822124,BKK00140,0.999200414,1.059131243,1.021267435,0.943883639,0.972694876,1.020131488,1.127692807,1.026185656,1.080099922,0.927114391,0.923195657,1.040735106,1.020683781,0.955682071,1.053555883,0.96055476,1.239897773,0.980585856
BSU00150,dgk,F,nucleotide transport and metabolism, ,lagging,-1,23146,23769,..,deoxyguanosine kinase,BKE00150,0.993538224,1.119470404,1.121986265,0.954088022,1.139431513,1.382583798,1.124781738,1.081018024,0.992788236,0.902326751,1.012689002,0.378429648,1.096996466,1.1698808,0.954089846,1.007710169,0.485898443,1.146971145,0.984201537,0.977633334,BKK00150,1.047576122,0.983876753,0.957380107,0.999578729,1.089229626,0.788379172,0.852015169,0.806576679,0.532733092,0.324986504,1.07007008,1.183905732,1.030493487,0.979278176,0.965834694,0.904355949,0.882592538,1.302946327
BSU00160,yaaH,D,"cell cycle control, cell division, chromosome partitioning", ,lagging,-1,23868,25151,SigB.SigE.SpoIIID_repress.,spore peptidoglycan hydrolase,BKE00160,0.874304064,1.114992474,1.058605951,1.119582115,1.156543665,1.296052115,1.189548999,1.103107608,1.016339127,1.133251908,1.146655997,0.587437612,1.265507648,1.353909872,1.144497182,1.316417612,0.986009959,1.940718444,1.119549429,1.024127992,BKK00160,1.215943341,0.877018924,1.005007584,0.862700892,1.144955948,0.780683569,0.802255413,0.828216807,0.58993765,0.778681439,1.195634197,1.186555128,0.997171023,1.06088015,1.056847548,0.887457698,0.776985919,1.179670507
